2025-02-15 07:31:09,270 INFO    MainThread:208901 [wandb_setup.py:_flush():68] Current SDK version is 0.19.1
2025-02-15 07:31:09,272 INFO    MainThread:208901 [wandb_setup.py:_flush():68] Configure stats pid to 208901
2025-02-15 07:31:09,272 INFO    MainThread:208901 [wandb_setup.py:_flush():68] Loading settings from /root/.config/wandb/settings
2025-02-15 07:31:09,272 INFO    MainThread:208901 [wandb_setup.py:_flush():68] Loading settings from /output/NEW/wandb/settings
2025-02-15 07:31:09,272 INFO    MainThread:208901 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-02-15 07:31:09,273 INFO    MainThread:208901 [wandb_init.py:_log_setup():528] Logging user logs to /output/NEW/wandb/run-20250215_073109-7h9p5rho/logs/debug.log
2025-02-15 07:31:09,273 INFO    MainThread:208901 [wandb_init.py:_log_setup():529] Logging internal logs to /output/NEW/wandb/run-20250215_073109-7h9p5rho/logs/debug-internal.log
2025-02-15 07:31:09,273 INFO    MainThread:208901 [wandb_init.py:init():644] calling init triggers
2025-02-15 07:31:09,273 INFO    MainThread:208901 [wandb_init.py:init():650] wandb.init called with sweep_config: {}
config: {}
2025-02-15 07:31:09,273 INFO    MainThread:208901 [wandb_init.py:init():680] starting backend
2025-02-15 07:31:09,273 INFO    MainThread:208901 [wandb_init.py:init():684] sending inform_init request
2025-02-15 07:31:09,285 INFO    MainThread:208901 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-02-15 07:31:09,286 INFO    MainThread:208901 [wandb_init.py:init():697] backend started and connected
2025-02-15 07:31:09,310 INFO    MainThread:208901 [wandb_init.py:init():790] updated telemetry
2025-02-15 07:31:09,312 INFO    MainThread:208901 [wandb_init.py:init():822] communicating run to backend with 90.0 second timeout
2025-02-15 07:31:09,940 INFO    MainThread:208901 [wandb_init.py:init():874] starting run threads in backend
2025-02-15 07:31:10,011 INFO    MainThread:208901 [wandb_run.py:_console_start():2374] atexit reg
2025-02-15 07:31:10,011 INFO    MainThread:208901 [wandb_run.py:_redirect():2224] redirect: wrap_raw
2025-02-15 07:31:10,011 INFO    MainThread:208901 [wandb_run.py:_redirect():2289] Wrapping output streams.
2025-02-15 07:31:10,011 INFO    MainThread:208901 [wandb_run.py:_redirect():2314] Redirects installed.
2025-02-15 07:31:10,014 INFO    MainThread:208901 [wandb_init.py:init():916] run started, returning control to user process
